Designation,Resource Allocation,Mental Fatigue Score,Work Hours per Week,Sleep Hours,Work-Life Balance Score,Manager Support Score,Deadline Pressure Score,Team Size,Recognition Frequency,Gender_Male,Company Type_Service,WFH Setup Available_Yes
1.0,-0.2546406931364739,-0.06833896975554284,0.5418355129820547,-0.6779729038992683,1.0,2.0,4.0,-0.21466702870817636,0.0,1.0,0.0,1.0
1.0,-0.7509353157141303,-0.9715955904529876,-0.9089363705939565,0.9059689011487672,5.0,3.0,1.0,-1.2323848847954095,2.0,1.0,1.0,0.0
2.0,-0.7509353157141303,0.043767382374483056,0.2780588068773254,-0.45169550317812024,1.0,1.0,4.0,0.803050827379057,1.0,1.0,1.0,1.0
2.0,-0.2546406931364739,-1.2454556671208137,-1.5683781358557798,2.0373559047545067,3.0,3.0,3.0,-1.4359284560128562,5.0,1.0,0.0,1.0
4.0,1.2342431745964952,0.8845650233496765,0.5418355129820547,0.11399799862474944,2.0,2.0,4.0,-1.4359284560128562,0.0,0.0,1.0,1.0
2.0,0.24165392944118244,0.21192691056952165,0.14617045382496077,-1.01738900498099,2.0,3.0,4.0,1.6172251122488435,0.0,1.0,1.0,0.0
2.0,-0.2546406931364739,-0.7970302586007104,-1.3046014297510504,1.2453850022304889,3.0,5.0,3.0,1.413681541031397,2.0,1.0,1.0,0.0
2.0,-0.2546406931364739,-0.3486048500806073,-1.436489782803415,2.15049460511508,3.0,3.0,3.0,-1.4359284560128562,3.0,1.0,0.0,1.0
0.0,-1.743524560869443,-1.693881075640917,-1.7002664889081445,0.9059689011487672,3.0,3.0,2.0,-0.8252977423605163,3.0,0.0,1.0,1.0
4.0,1.2342431745964952,0.15587373450450845,0.014282100772596116,-0.45169550317812024,1.0,1.0,5.0,1.0065943985965036,0.0,0.0,0.0,0.0
2.0,-0.2546406931364739,-0.23649849795058142,-0.5132713114368624,0.9059689011487672,5.0,3.0,1.0,0.803050827379057,4.0,0.0,1.0,0.0
1.0,-0.7509353157141303,0.3240332626995475,1.0693889251915134,-0.22541810245697216,2.0,1.0,4.0,-1.2323848847954095,0.0,0.0,0.0,1.0
1.0,-1.2472299382917866,-0.8530834346657236,-1.7002664889081445,-0.11227940209639864,4.0,3.0,1.0,0.3959636849441636,4.0,1.0,0.0,1.0
3.0,0.24165392944118244,0.9406181994146892,1.3331656312962425,-0.11227940209639864,2.0,2.0,4.0,1.6172251122488435,1.0,1.0,1.0,1.0
